0,Alice,16_22_51_2021_02_06,50,200
0.1125,0.019,-1.094,0.124,0.019,-0.9985
0.11325,0.018,-1.09525,0.124,0.019,-0.9985
0.11325,0.018,-1.09525,0.124,0.019,-0.9985
0.1135,0.0185,-1.09525,0.12325,0.01825,-1.0005
0.11475,0.0175,-1.0945,0.1235,0.01825,-0.99975
0.11375,0.017,-1.09425,0.12325,0.01925,-1
0.11375,0.017,-1.09425,0.12425,0.01875,-0.99975
0.1125,0.01775,-1.09525,0.12375,0.01875,-1.0005
0.1125,0.01775,-1.09525,0.12375,0.01875,-1.0005
0.1125,0.01775,-1.09525,0.12375,0.01875,-1.0005
0.11375,0.0185,-1.095,0.12425,0.01825,-0.99975
0.11225,0.01875,-1.096,0.12375,0.0175,-1
0.11425,0.018,-1.0945,0.1225,0.01825,-1.0005
0.1125,0.02175,-1.095,0.12375,0.02075,-1.0005
0.1125,0.02175,-1.095,0.12375,0.02075,-1.0005
0.1125,0.02175,-1.095,0.12375,0.02075,-1.0005
0.1135,0.01875,-1.09575,0.1235,0.019,-1
0.11225,0.0185,-1.0935,0.1245,0.01825,-0.9982501
0.1125,0.01925,-1.094,0.12425,0.0185,-1.0005
0.11425,0.01825,-1.09425,0.124,0.019,-1
0.11325,0.01775,-1.095,0.12275,0.0185,-1
0.11325,0.01775,-1.095,0.12275,0.0185,-1
0.1125,0.01875,-1.09575,0.12325,0.018,-0.99975
0.113,0.01875,-1.095,0.1235,0.01975,-1
0.113,0.01875,-1.095,0.1235,0.01975,-1
0.113,0.01875,-1.095,0.1235,0.01975,-1
0.11325,0.0185,-1.09475,0.1225,0.019,-1.0005
0.11325,0.0185,-1.09475,0.1235,0.02025,-1
0.11325,0.0185,-1.09475,0.1235,0.02025,-1
0.1135,0.01825,-1.09575,0.12375,0.0185,-1.00025
0.11375,0.019,-1.09475,0.1245,0.01825,-0.9992501
0.113,0.01875,-1.09475,0.12275,0.01925,-1
0.1135,0.01775,-1.0945,0.12325,0.019,-1.00025
0.114,0.0185,-1.09525,0.1235,0.01925,-1.0005
0.11275,0.01825,-1.0955,0.1235,0.01925,-1.0005
0.11275,0.01825,-1.0955,0.1235,0.01925,-1.0005
0.11375,0.018,-1.095,0.12325,0.019,-1.001
0.11225,0.019,-1.096,0.12425,0.0195,-1.00025
0.113,0.01875,-1.09475,0.123,0.01875,-1
0.113,0.018,-1.095,0.12325,0.0185,-1
0.113,0.018,-1.095,0.12325,0.0185,-1
0.113,0.01925,-1.09475,0.12225,0.01875,-1.00175
0.113,0.01925,-1.09475,0.124,0.019,-0.9995
0.1125,0.01875,-1.0955,0.12325,0.01825,-0.9995
0.114,0.01775,-1.0955,0.124,0.01925,-1.0005
0.11325,0.0185,-1.096,0.12325,0.01825,-0.99975
0.11325,0.0185,-1.096,0.12325,0.01825,-0.99975
0.11325,0.0185,-1.096,0.12325,0.01825,-0.99975
0.1125,0.01925,-1.09575,0.12325,0.0195,-0.9995
0.11325,0.01825,-1.09575,0.1235,0.01875,-0.99975
0.11325,0.01825,-1.09575,0.1235,0.01875,-0.99975
0.113,0.02075,-1.0955,0.1235,0.01975,-1.0005
0.11275,0.0175,-1.09525,0.12375,0.018,-1
0.11275,0.0175,-1.09525,0.12375,0.018,-1
0.113,0.01875,-1.0955,0.12375,0.01925,-1
0.1145,0.01875,-1.095,0.12375,0.01925,-1
0.113,0.0185,-1.0955,0.12325,0.0175,-1.0005
0.113,0.0185,-1.0955,0.125,0.01825,-0.9985
0.113,0.0185,-1.0955,0.125,0.01825,-0.9985
0.1125,0.019,-1.095,0.12375,0.01925,-1.00025
0.11225,0.01925,-1.0945,0.12375,0.018,-0.9990001
0.11275,0.019,-1.09475,0.12225,0.0175,-0.99975
0.11425,0.01925,-1.09525,0.12425,0.01975,-1.0005
0.1145,0.01825,-1.0945,0.12425,0.019,-0.9995
0.11275,0.01925,-1.095,0.12275,0.0185,-1.00025
0.11275,0.01925,-1.095,0.12275,0.0185,-1.00025
0.11375,0.0195,-1.095,0.1225,0.01775,-1.00025
0.11375,0.01875,-1.0945,0.12325,0.0195,-0.99975
0.1135,0.018,-1.09525,0.124,0.019,-0.9992501
0.11275,0.01825,-1.0965,0.12375,0.0175,-0.9995
0.11275,0.01825,-1.0965,0.12375,0.0175,-0.9995
0.1135,0.0175,-1.095,0.1235,0.0185,-1.00025
0.113,0.0185,-1.09475,0.12375,0.01875,-0.9990001
0.113,0.0185,-1.09475,0.12375,0.01875,-0.9990001
0.113,0.0185,-1.09475,0.12375,0.01875,-0.9990001
0.11375,0.019,-1.09575,0.12475,0.0195,-0.9990001
0.11425,0.0185,-1.095,0.12375,0.0185,-0.9990001
0.1145,0.018,-1.09425,0.12425,0.0185,-0.99975
0.1145,0.01825,-1.09575,0.123,0.018,-1.0015
0.113,0.01875,-1.09525,0.123,0.018,-1.0015
0.11375,0.01825,-1.0955,0.1235,0.019,-1
0.11375,0.0175,-1.095,0.12375,0.018,-0.9992501
0.1135,0.01775,-1.09575,0.1235,0.01775,-1.00025
0.11275,0.01775,-1.09425,0.12325,0.018,-1
0.11375,0.0185,-1.0955,0.1235,0.019,-1
0.114,0.01775,-1.0945,0.1245,0.019,-0.9992501
0.11325,0.019,-1.0955,0.123,0.01875,-0.9995
0.11375,0.0185,-1.094,0.1245,0.01875,-0.9990001
0.1145,0.02075,-1.095,0.12275,0.019,-0.9992501
0.1135,0.0205,-1.0945,0.1235,0.02,-0.9995
0.1125,0.01775,-1.09375,0.1245,0.01975,-1
0.1135,0.01875,-1.095,0.1235,0.02025,-1.00075
0.1135,0.01875,-1.09425,0.124,0.01925,-0.9992501
0.11325,0.01875,-1.0955,0.1235,0.018,-0.9995
0.11325,0.0175,-1.09425,0.1235,0.0185,-1
0.11275,0.01825,-1.09575,0.1245,0.01875,-0.99975
0.1135,0.0165,-1.0945,0.123,0.017,-1.0005
0.11375,0.01825,-1.095,0.12375,0.019,-0.9995
0.11375,0.01875,-1.0955,0.12275,0.017,-1.0005
0.11375,0.01925,-1.09525,0.12425,0.019,-1.00025
0.114,0.019,-1.09475,0.124,0.01825,-0.9995
0.113,0.01825,-1.0945,0.1235,0.01925,-0.9995
0.11325,0.0195,-1.09575,0.12475,0.01925,-0.99875
0.1145,0.01825,-1.0945,0.125,0.01875,-0.99975
0.1135,0.01775,-1.0955,0.124,0.01975,-1
0.11225,0.01875,-1.09575,0.12475,0.019,-0.998
0.11225,0.01875,-1.09575,0.12475,0.019,-0.998
0.1145,0.0175,-1.09525,0.1255,0.0185,-0.9990001
0.114,0.0195,-1.0945,0.124,0.01975,-1.001
0.11325,0.018,-1.0945,0.123,0.0185,-1.00025
0.1145,0.0185,-1.09375,0.124,0.019,-0.9995
0.11325,0.01925,-1.09475,0.12425,0.02,-1
0.114,0.01925,-1.09425,0.1235,0.01975,-1.00025
0.11375,0.01825,-1.09475,0.12325,0.01825,-1.00025
0.11275,0.019,-1.09475,0.12425,0.019,-0.99975
0.11325,0.0175,-1.095,0.12525,0.0195,-0.9995
0.113,0.01875,-1.096,0.1235,0.0195,-1
0.11225,0.0185,-1.096,0.12225,0.01775,-1.0005
0.114,0.01875,-1.095,0.1235,0.01875,-0.9995
0.11325,0.01825,-1.0955,0.12325,0.018,-0.9995
0.113,0.02025,-1.09525,0.123,0.018,-0.9990001
0.11375,0.018,-1.09475,0.12425,0.01875,-0.9985
0.11325,0.01925,-1.095,0.12375,0.02,-1.00075
0.1125,0.01875,-1.09475,0.12375,0.0195,-1
0.114,0.0185,-1.09525,0.12475,0.01825,-0.9995
0.1135,0.01725,-1.094,0.124,0.018,-1
0.11325,0.0215,-1.09575,0.12175,0.021,-0.99975
0.11275,0.01725,-1.0945,0.124,0.018,-1.00175
0.113,0.0195,-1.0965,0.12475,0.02,-1
0.114,0.0195,-1.094,0.12425,0.019,-0.9992501
0.11275,0.01775,-1.09425,0.12325,0.01875,-0.99975
0.11375,0.01825,-1.09475,0.12375,0.0185,-0.9995
0.1135,0.0195,-1.094,0.12475,0.01925,-0.9990001
0.1135,0.01825,-1.096,0.12375,0.01925,-0.99975
0.1145,0.0185,-1.095,0.1235,0.0185,-0.9990001
0.113,0.01825,-1.095,0.12325,0.019,-1.0005
0.114,0.01925,-1.095,0.12325,0.0195,-1.00075
0.11325,0.0175,-1.09575,0.12325,0.019,-1.0005
0.114,0.0185,-1.09375,0.1215,0.01775,-1.00025
0.1145,0.0195,-1.095,0.12275,0.01825,-0.9982501
0.1135,0.018,-1.0945,0.12475,0.0185,-0.99875
0.114,0.0175,-1.09575,0.1235,0.018,-1.00025
0.11325,0.018,-1.095,0.123,0.017,-1
0.1135,0.01875,-1.09525,0.12475,0.01875,-0.9990001
0.1135,0.0185,-1.096,0.1235,0.01875,-1.0005
0.11425,0.01775,-1.09475,0.124,0.01875,-0.9995
0.113,0.0185,-1.09625,0.12325,0.018,-0.9995
0.11325,0.01875,-1.0945,0.12275,0.019,-1.0005
0.113,0.01875,-1.09525,0.12375,0.01925,-1
0.1145,0.0185,-1.095,0.12475,0.0195,-0.99975
0.11375,0.01775,-1.0945,0.12475,0.01925,-0.9995
0.11375,0.01775,-1.09525,0.1235,0.01875,-0.99975
0.11425,0.01875,-1.095,0.123,0.01825,-1
0.113,0.0185,-1.09425,0.12325,0.01775,-1
0.113,0.01875,-1.09525,0.123,0.019,-1.0005
0.113,0.01875,-1.09525,0.123,0.019,-1.0005
0.113,0.01725,-1.09475,0.12425,0.01875,-0.9992501
0.11275,0.01825,-1.09625,0.12275,0.019,-1.0005
0.11275,0.019,-1.0945,0.124,0.019,-1.00025
0.11375,0.0195,-1.0955,0.1255,0.0195,-0.99975
0.1135,0.0185,-1.09475,0.124,0.01825,-0.9995
0.11375,0.01825,-1.0955,0.12475,0.02,-1
0.11175,0.0185,-1.0955,0.12225,0.01775,-1.00075
0.1135,0.02,-1.09475,0.12325,0.01975,-0.9995
0.1125,0.018,-1.09275,0.12325,0.019,-1.00025
0.1135,0.01825,-1.09425,0.123,0.019,-1.00025
0.11325,0.019,-1.0965,0.1225,0.0195,-1.0005
0.1135,0.01875,-1.0945,0.1235,0.0185,-0.99975
0.11325,0.01825,-1.09575,0.12375,0.0185,-0.99975
0.1135,0.018,-1.0945,0.12475,0.019,-0.9982501
0.11325,0.0175,-1.09475,0.12475,0.0195,-1
0.1135,0.018,-1.0945,0.12425,0.01875,-0.99875
0.11375,0.01875,-1.0955,0.1235,0.0185,-1.00075
0.11325,0.0185,-1.095,0.12375,0.019,-0.9990001
0.11375,0.0195,-1.09475,0.1225,0.0175,-1.00075
0.113,0.01825,-1.095,0.124,0.0185,-0.9992501
0.1125,0.01975,-1.09575,0.12275,0.01825,-1.00025
0.114,0.0195,-1.0935,0.124,0.01825,-0.9992501
0.11375,0.01775,-1.09475,0.124,0.01825,-0.9995
0.11425,0.01775,-1.09475,0.12325,0.01775,-1
0.11275,0.0185,-1.09525,0.1225,0.018,-1
0.11275,0.0175,-1.09475,0.124,0.01925,-0.9995
0.112,0.018,-1.0955,0.1235,0.0185,-0.99975
0.11425,0.01925,-1.0955,0.12425,0.021,-1.002
0.1145,0.0195,-1.09575,0.12325,0.0195,-1
0.1135,0.01775,-1.09525,0.12325,0.01875,-0.9992501
0.1135,0.01775,-1.095,0.123,0.01725,-0.99975
0.11475,0.02025,-1.0945,0.1235,0.02,-1.00075
0.1135,0.01925,-1.0945,0.12325,0.01925,-1.0005
0.11425,0.01925,-1.09425,0.12525,0.01825,-0.9990001
0.1135,0.01825,-1.09425,0.1225,0.0175,-1.0005
0.112,0.018,-1.095,0.12225,0.01925,-1.00075
0.11375,0.019,-1.09475,0.1225,0.01925,-1
0.11375,0.01775,-1.09475,0.12325,0.01875,-0.99975
0.1125,0.01825,-1.0955,0.12375,0.0185,-0.9992501
0.11375,0.01775,-1.0945,0.12325,0.018,-0.9990001
0.1125,0.0175,-1.0955,0.1225,0.0195,-1.00025
0.115,0.02,-1.09325,0.12375,0.01975,-1.0005
0.1145,0.0185,-1.09425,0.12425,0.019,-0.9995
0.1135,0.01775,-1.095,0.1235,0.0185,-0.9995
0.11275,0.01675,-1.09325,0.12475,0.0175,-0.9985
0.11375,0.02075,-1.09425,0.124,0.0215,-0.9992501
0.11375,0.02075,-1.09425,0.124,0.0215,-0.9992501
0.114,0.0175,-1.09475,0.1235,0.01775,-1.00125
0.112,0.0195,-1.09575,0.1235,0.01875,-0.99975
0.11325,0.018,-1.09475,0.12325,0.01875,-1.00075
0.11325,0.01975,-1.0945,0.12425,0.019,-1.0005
0.113,0.017,-1.09375,0.12375,0.01875,-0.99975
0.1135,0.01775,-1.0945,0.12475,0.019,-1.00025
0.1145,0.019,-1.09475,0.12275,0.01875,-1.00025
0.11225,0.0185,-1.09575,0.124,0.01925,-0.99975
0.11325,0.018,-1.09525,0.12425,0.01925,-1.00025
0.11275,0.0195,-1.09475,0.12325,0.01925,-1
0.113,0.0185,-1.09475,0.12225,0.01775,-1.00025
0.114,0.01725,-1.09425,0.12325,0.01925,-1.00075
0.11325,0.019,-1.096,0.124,0.02025,-1.00025
0.11425,0.0185,-1.09475,0.12425,0.01975,-1.0005
0.1135,0.018,-1.09475,0.12425,0.019,-0.9995
0.1135,0.01675,-1.09525,0.1245,0.0185,-0.99975
0.113,0.01775,-1.09525,0.12325,0.01775,-1.00025
0.11425,0.018,-1.09525,0.1235,0.01925,-0.9995
0.113,0.01875,-1.094,0.12425,0.02025,-1
0.11375,0.0185,-1.09425,0.1245,0.019,-1.00025
0.11325,0.019,-1.095,0.12475,0.01875,-0.9990001
0.1135,0.0185,-1.09475,0.1235,0.0185,-0.9995
0.1135,0.01825,-1.095,0.1235,0.0185,-0.9992501
0.11375,0.01925,-1.0945,0.123,0.01925,-1.00025
0.11275,0.018,-1.095,0.124,0.018,-0.9995
0.1135,0.018,-1.0955,0.12375,0.01875,-1
0.1145,0.01825,-1.095,0.12375,0.01875,-1
0.11275,0.01925,-1.09525,0.123,0.0195,-1.001
0.1135,0.01775,-1.09375,0.12425,0.019,-0.9990001
0.114,0.018,-1.09425,0.12325,0.01825,-1
0.11375,0.017,-1.09525,0.12275,0.018,-0.99975
0.114,0.01725,-1.09425,0.1235,0.01725,-0.9995
0.11225,0.0185,-1.09575,0.123,0.018,-0.9992501
0.114,0.018,-1.0955,0.12375,0.0195,-1.0005
0.1135,0.01925,-1.09575,0.1235,0.0195,-1.0005
0.1145,0.01875,-1.095,0.12375,0.01825,-0.9992501
0.1145,0.01875,-1.095,0.12375,0.01825,-0.9992501
0.11175,0.0185,-1.095,0.1225,0.0175,-1.00025
0.11375,0.0195,-1.09425,0.12375,0.0195,-0.9992501
0.11425,0.0175,-1.09325,0.124,0.019,-1
0.11375,0.01775,-1.09475,0.12325,0.018,-0.9995
0.114,0.01825,-1.095,0.12275,0.01825,-0.99975
0.112,0.0185,-1.0955,0.123,0.0185,-1.00025
0.113,0.01875,-1.09525,0.12375,0.01825,-0.9992501
0.1135,0.0175,-1.0955,0.12375,0.01825,-0.9992501
0.114,0.0175,-1.09475,0.1245,0.01875,-0.9995
0.1135,0.018,-1.094,0.1245,0.0195,-0.9995
0.11375,0.01925,-1.09425,0.125,0.01925,-1
0.11275,0.01925,-1.0945,0.124,0.0195,-0.9992501
0.11275,0.0185,-1.0955,0.12375,0.01925,-0.99975
0.11375,0.01875,-1.095,0.12275,0.019,-1.001
0.11275,0.01925,-1.09525,0.1235,0.01875,-0.9992501
0.113,0.01775,-1.09375,0.12425,0.01825,-0.9992501
0.11325,0.018,-1.0945,0.124,0.02025,-1
0.11275,0.01675,-1.093,0.1235,0.01825,-1
0.1125,0.0185,-1.0945,0.12375,0.01875,-0.9995
0.11375,0.01775,-1.09375,0.1235,0.018,-1.00025
0.11325,0.018,-1.09475,0.1235,0.01875,-0.99975
0.1135,0.0195,-1.09525,0.1225,0.0185,-1.0005
0.11325,0.01825,-1.09425,0.1225,0.018,-0.9995
0.11325,0.01925,-1.09475,0.12275,0.0175,-0.99975
0.11325,0.018,-1.0945,0.12325,0.01875,-1.00075
0.1145,0.0195,-1.09475,0.12375,0.01925,-0.99975
0.11375,0.018,-1.09525,0.12425,0.01925,-0.99975
0.1125,0.019,-1.0955,0.12425,0.01925,-0.99975
0.11225,0.0185,-1.09575,0.1235,0.0195,-0.99975
0.1135,0.019,-1.09525,0.1245,0.01925,-0.9992501
0.11375,0.01825,-1.094,0.1235,0.018,-0.9992501
0.11375,0.01825,-1.094,0.1235,0.018,-0.9992501
0.11275,0.019,-1.0945,0.12325,0.0185,-1.00075
0.114,0.01825,-1.0935,0.12375,0.0185,-1
0.11375,0.019,-1.095,0.124,0.0185,-0.99975
0.112,0.01875,-1.096,0.1235,0.01775,-1.00025
0.11325,0.01725,-1.09375,0.12325,0.0185,-0.99975
0.11425,0.01875,-1.0955,0.124,0.0195,-1
0.114,0.019,-1.0945,0.12375,0.01925,-0.9992501
0.11525,0.01775,-1.0945,0.124,0.0195,-0.9990001
0.112,0.0195,-1.096,0.12275,0.019,-0.99975
0.11425,0.01975,-1.0935,0.12375,0.02,-0.9990001
0.113,0.0175,-1.09375,0.1235,0.018,-1.0025
0.111,0.02,-1.09575,0.12325,0.019,-1.00125
0.1125,0.018,-1.09325,0.12475,0.01825,-0.9992501
0.113,0.019,-1.09525,0.1225,0.01925,-1.00025
0.11375,0.0175,-1.09375,0.12325,0.01925,-0.99975
0.11475,0.0195,-1.0945,0.125,0.02,-0.9990001
0.11325,0.018,-1.0955,0.1225,0.01775,-1.00125
0.112,0.01925,-1.09525,0.12225,0.0185,-1
0.114,0.0185,-1.09575,0.1235,0.019,-1.00025
0.113,0.0175,-1.09525,0.12325,0.019,-1
0.11375,0.0175,-1.09425,0.12325,0.01875,-1.00025
0.11275,0.01875,-1.09475,0.1225,0.01825,-1
0.11125,0.0195,-1.09575,0.123,0.0175,-1.00025
0.1125,0.0175,-1.09475,0.124,0.01925,-0.9995
0.112,0.019,-1.09625,0.1235,0.0195,-1.00025
0.1145,0.0185,-1.0945,0.1225,0.01825,-1.00075
0.1135,0.01825,-1.09575,0.12425,0.0185,-0.9992501
0.11375,0.01775,-1.0945,0.1235,0.01825,-1
0.11375,0.0185,-1.09375,0.124,0.01875,-0.99975
0.11425,0.019,-1.0955,0.12475,0.019,-0.9995
0.113,0.01775,-1.09525,0.124,0.01875,-0.99875
0.11375,0.019,-1.095,0.123,0.01775,-0.9992501
0.11275,0.0185,-1.0955,0.12325,0.0195,-1.00025
0.11275,0.0185,-1.0955,0.12325,0.0195,-1.00025
0.113,0.01875,-1.094,0.1225,0.0175,-1.00025
0.114,0.01875,-1.09425,0.12275,0.01825,-0.99975
0.11375,0.01825,-1.094,0.12325,0.01875,-0.99975
0.11325,0.0195,-1.09525,0.123,0.019,-0.99975
0.1135,0.01925,-1.09525,0.123,0.019,-0.99975
0.11225,0.01775,-1.09325,0.12375,0.01775,-0.9992501
0.11275,0.0185,-1.0935,0.1225,0.01675,-1.0005
0.11425,0.02025,-1.095,0.12275,0.02,-1.00075
0.11325,0.01875,-1.09425,0.1235,0.02025,-1.0005
0.114,0.0175,-1.09575,0.12275,0.01725,-1
0.1145,0.01675,-1.095,0.12375,0.0185,-0.9992501
0.11375,0.01875,-1.0955,0.1225,0.01825,-1.0005
0.1125,0.019,-1.09475,0.12275,0.01875,-0.99975
0.11375,0.01825,-1.09475,0.12375,0.019,-0.9995
0.11175,0.01975,-1.0955,0.1235,0.019,-0.99975
0.11225,0.02,-1.09525,0.12275,0.019,-1.00025
0.1125,0.018,-1.09375,0.1235,0.01775,-1
0.11325,0.01975,-1.09525,0.12375,0.0195,-0.9995
0.113,0.0185,-1.09475,0.123,0.01925,-0.99975
0.113,0.019,-1.09475,0.1225,0.017,-1.0005
0.11425,0.0175,-1.0945,0.1235,0.0185,-0.9990001
0.11375,0.018,-1.09425,0.1255,0.01925,-0.99875
0.11325,0.019,-1.0955,0.1235,0.019,-0.9995
0.11425,0.0185,-1.0945,0.12425,0.0185,-0.99975
0.11425,0.018,-1.09525,0.12325,0.0175,-1.00025
0.11275,0.018,-1.09475,0.1225,0.0185,-0.9995
0.11325,0.01825,-1.096,0.123,0.01775,-0.9995
0.11175,0.019,-1.09425,0.12325,0.01775,-0.9995
0.11225,0.019,-1.09575,0.12475,0.01975,-0.9995
0.11225,0.01825,-1.09375,0.12325,0.01825,-0.99975
0.11275,0.0185,-1.096,0.12425,0.02025,-0.99975
0.11225,0.018,-1.0935,0.12375,0.01925,-1.00075
0.11325,0.01775,-1.09475,0.1225,0.01675,-1.00075
0.1135,0.0175,-1.09425,0.12325,0.0185,-0.99975
0.114,0.01775,-1.09425,0.1235,0.019,-0.9985
0.113,0.0175,-1.09425,0.12425,0.01775,-0.99875
0.1125,0.01725,-1.09475,0.124,0.01975,-0.9995
0.11275,0.01975,-1.09425,0.1245,0.01925,-1
0.11325,0.01775,-1.09525,0.12375,0.01875,-1.0005
0.114,0.019,-1.09475,0.124,0.01875,-0.9990001
0.113,0.01925,-1.095,0.1235,0.01975,-1.0005
0.11425,0.018,-1.095,0.12325,0.01925,-0.99975
0.11275,0.0185,-1.09525,0.12375,0.018,-1.00025
0.1125,0.019,-1.09525,0.123,0.01925,-1.00075
0.11375,0.01875,-1.09475,0.12425,0.01875,-0.9990001
0.1135,0.01825,-1.0955,0.12325,0.0185,-1.00075
0.11375,0.01875,-1.095,0.1235,0.01925,-0.99975
0.11275,0.01775,-1.09525,0.12275,0.0185,-1.00025
0.11425,0.01775,-1.09525,0.124,0.019,-0.9992501
0.11325,0.0175,-1.0945,0.124,0.01925,-1
0.1145,0.018,-1.09475,0.1245,0.01875,-0.9992501
0.114,0.01875,-1.09525,0.1225,0.0185,-1
0.11325,0.018,-1.09425,0.12475,0.018,-0.99875
0.11325,0.0175,-1.0945,0.122,0.01675,-1.00025
0.11325,0.0205,-1.0955,0.12325,0.01875,-0.99975
0.11325,0.01725,-1.09425,0.1245,0.01875,-0.99975
0.1135,0.019,-1.09575,0.12475,0.019,-0.99975
0.1125,0.01975,-1.09575,0.12325,0.01875,-1
0.1125,0.01825,-1.096,0.12425,0.0185,-0.99975
0.11375,0.0175,-1.095,0.1245,0.018,-0.9992501
0.11475,0.01775,-1.094,0.1255,0.01925,-0.9992501
0.11525,0.01975,-1.095,0.12325,0.01875,-1.00025
0.11375,0.0185,-1.0945,0.12425,0.01875,-0.9990001
0.11475,0.02,-1.0945,0.12325,0.01875,-1.00025
0.11275,0.01925,-1.09425,0.1245,0.0185,-0.99875
0.11325,0.01875,-1.0955,0.1235,0.01925,-1.00075
0.11275,0.01775,-1.09425,0.124,0.0185,-1
0.1125,0.0185,-1.09625,0.12225,0.0185,-1
0.11325,0.01725,-1.094,0.12375,0.0185,-1
0.11375,0.01775,-1.0945,0.12325,0.01975,-1.001
0.114,0.0185,-1.09625,0.124,0.02025,-0.9995
0.1135,0.019,-1.09475,0.12425,0.019,-0.9992501
0.114,0.01775,-1.0955,0.12475,0.0195,-0.99975
0.1125,0.019,-1.09475,0.124,0.01925,-0.9992501
0.113,0.01775,-1.0955,0.1225,0.018,-1.00125
0.1125,0.01775,-1.09525,0.12375,0.0195,-0.9990001
0.1135,0.01975,-1.09375,0.12475,0.01925,-1.0005
0.11325,0.0185,-1.09525,0.124,0.01925,-1.001
0.113,0.01875,-1.094,0.12425,0.01975,-0.99875
0.1135,0.01825,-1.09675,0.12275,0.019,-1.001
0.11425,0.01875,-1.095,0.12325,0.0185,-0.99975
0.11225,0.01925,-1.09475,0.1235,0.0205,-0.9995
0.11325,0.018,-1.0955,0.123,0.01675,-1.003
0.11225,0.01975,-1.0935,0.123,0.01925,-0.9990001
0.11225,0.01975,-1.0935,0.123,0.01925,-0.9990001
0.1135,0.0175,-1.095,0.12475,0.02,-0.99975
0.11375,0.01775,-1.095,0.12425,0.018,-0.9992501
0.113,0.018,-1.095,0.12325,0.019,-1.00025
0.1135,0.0175,-1.09425,0.12375,0.019,-0.99975
0.1125,0.0205,-1.09375,0.124,0.02025,-1.0005
0.1145,0.01825,-1.09575,0.124,0.0195,-1
0.11375,0.0165,-1.09425,0.12375,0.01675,-1.0005
0.114,0.02075,-1.095,0.12225,0.0205,-1.0005
0.11375,0.0185,-1.09475,0.12425,0.01875,-0.9992501
0.1135,0.01925,-1.09575,0.1225,0.01825,-1
0.113,0.01825,-1.095,0.12425,0.01825,-0.99975
0.1135,0.018,-1.094,0.123,0.01875,-1.0005
0.11325,0.01775,-1.09475,0.124,0.0185,-1
0.114,0.01825,-1.094,0.12375,0.01925,-0.9995
0.11425,0.0195,-1.095,0.1225,0.01875,-1.0005
0.114,0.018,-1.0955,0.123,0.01875,-0.99975
0.11325,0.0195,-1.09575,0.12425,0.0185,-0.9985
0.11275,0.01875,-1.095,0.12375,0.0185,-1
0.11375,0.0175,-1.09475,0.124,0.0185,-0.99975
0.1135,0.018,-1.094,0.12375,0.01925,-1
0.1135,0.0195,-1.0955,0.12225,0.0195,-1
0.1135,0.01925,-1.09425,0.12425,0.01925,-1
0.114,0.01875,-1.09525,0.124,0.02,-1.00025
0.11425,0.01775,-1.095,0.12425,0.018,-0.9990001
0.1115,0.01975,-1.09575,0.12425,0.0185,-0.9995
0.11375,0.0185,-1.09425,0.123,0.01775,-1.00025
0.114,0.01825,-1.09525,0.1255,0.02025,-1.0005
0.11375,0.01825,-1.09575,0.12375,0.01825,-0.9990001
0.11325,0.01825,-1.095,0.12275,0.01775,-0.9990001
0.11375,0.01925,-1.0945,0.1225,0.01825,-1.0005
0.1135,0.0185,-1.09575,0.12325,0.0195,-1
0.11425,0.01875,-1.0945,0.12375,0.01975,-0.9995
0.114,0.0185,-1.0945,0.1235,0.0195,-1.00025
0.1125,0.02,-1.09475,0.124,0.01925,-0.9995
0.11375,0.01925,-1.09425,0.1245,0.0185,-0.9992501
0.11375,0.01825,-1.09475,0.12475,0.01875,-0.99875
0.1135,0.0195,-1.09575,0.1215,0.01875,-1.001
0.113,0.01875,-1.095,0.12325,0.0195,-0.9995
0.114,0.0185,-1.09575,0.12375,0.018,-1
0.11375,0.01875,-1.0945,0.123,0.01875,-1.0005
0.1125,0.019,-1.0935,0.1225,0.017,-1.00025
0.11225,0.01825,-1.095,0.12275,0.01925,-1.00025
0.11325,0.01875,-1.095,0.12375,0.0185,-0.9995
0.114,0.01725,-1.09425,0.122,0.01775,-1.0005
0.11225,0.021,-1.094,0.123,0.0195,-1
0.114,0.01825,-1.0945,0.123,0.01825,-1.00175
0.11375,0.01875,-1.0965,0.12225,0.02025,-1.001
0.1135,0.019,-1.09425,0.124,0.02,-1
0.11325,0.018,-1.0945,0.12425,0.0185,-0.99975
0.11425,0.01775,-1.09475,0.123,0.01825,-1.00075
0.114,0.01775,-1.09475,0.124,0.018,-0.99975
0.1135,0.018,-1.0955,0.1235,0.01825,-0.99975
0.1135,0.01775,-1.095,0.12275,0.0185,-1.00025
0.1125,0.01875,-1.0955,0.12275,0.01825,-1.0005
0.114,0.019,-1.095,0.12375,0.02,-0.9995
0.11475,0.01875,-1.095,0.12375,0.0195,-1.00025
0.11325,0.01725,-1.09475,0.124,0.01975,-1
0.1135,0.01925,-1.09525,0.12275,0.019,-1.00075
0.112,0.01875,-1.09375,0.1245,0.0195,-0.9995
0.1125,0.019,-1.09475,0.1235,0.01875,-1
0.11275,0.0175,-1.0945,0.1225,0.01875,-1.00075
0.1135,0.018,-1.0945,0.12275,0.018,-0.9992501
0.11375,0.01825,-1.09425,0.124,0.01825,-1
0.1145,0.01875,-1.09425,0.12425,0.01825,-0.9995
0.113,0.01825,-1.09375,0.1245,0.01925,-1
0.114,0.01825,-1.09525,0.1225,0.01825,-1.00025
0.11325,0.01825,-1.0945,0.12375,0.01775,-1
